gene_symbol,allele_symbol,zygosity,center,total_control_count,male_control_count,female_control_count,control_status,male_analyzable,female_analyzable,both_sex_analyzable,male_total_mice,male_complete_data_mice,male_sufficient_sample,male_complete_data_sufficient,male_6kHz-evoked ABR Threshold_count,male_6kHz-evoked ABR Threshold_sufficient,male_12kHz-evoked ABR Threshold_count,male_12kHz-evoked ABR Threshold_sufficient,male_18kHz-evoked ABR Threshold_count,male_18kHz-evoked ABR Threshold_sufficient,male_24kHz-evoked ABR Threshold_count,male_24kHz-evoked ABR Threshold_sufficient,male_30kHz-evoked ABR Threshold_count,male_30kHz-evoked ABR Threshold_sufficient,female_total_mice,female_complete_data_mice,female_sufficient_sample,female_complete_data_sufficient,female_6kHz-evoked ABR Threshold_count,female_6kHz-evoked ABR Threshold_sufficient,female_12kHz-evoked ABR Threshold_count,female_12kHz-evoked ABR Threshold_sufficient,female_18kHz-evoked ABR Threshold_count,female_18kHz-evoked ABR Threshold_sufficient,female_24kHz-evoked ABR Threshold_count,female_24kHz-evoked ABR Threshold_sufficient,female_30kHz-evoked ABR Threshold_count,female_30kHz-evoked ABR Threshold_sufficient,status,total_groups,male_analyzable_groups,female_analyzable_groups,both_sex_analyzable_groups
Slc25a21,Slc25a21<tm1d(KOMP)Wtsi>,homozygote,WTSI,54.0,25.0,29.0,OK,False,True,False,1.0,1.0,False,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Rrp1b,Rrp1b<tm2b(EUCOMM)Hmgu>,homozygote,ICS,1512.0,767.0,745.0,OK,True,True,True,7.0,7.0,True,True,7.0,True,7.0,True,7.0,True,7.0,True,7.0,True,8.0,8.0,True,True,8.0,True,8.0,True,8.0,True,8.0,True,8.0,True,,,,,
Eloa,Eloa<em1(IMPC)Mbp>,heterozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Clk1,Clk1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,906.0,454.0,452.0,OK,True,False,False,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,1.0,1.0,False,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,,,,
Rab15,Rab15<tm1a(KOMP)Wtsi>,homozygote,WTSI,906.0,454.0,452.0,OK,False,True,False,1.0,1.0,False,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,,,,,
Nav3,Nav3<em1(IMPC)Mbp>,homozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Pdxk,Pdxk<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,906.0,454.0,452.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Myo6,Myo6<em1(IMPC)Tcp>,homozygote,TCP,588.0,293.0,295.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Cldnd2,Cldnd2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,1512.0,767.0,745.0,OK,True,True,True,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,,,,,
Phf14,Phf14<em1(IMPC)Hmgu>,heterozygote,HMGU,1909.0,959.0,950.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,3.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,3.0,True,,,,,
Tsc1,Tsc1<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,3446.0,1701.0,1745.0,OK,True,True,True,8.0,8.0,True,True,8.0,True,8.0,True,8.0,True,8.0,True,8.0,True,7.0,7.0,True,True,7.0,True,7.0,True,7.0,True,7.0,True,7.0,True,,,,,
Jmjd1c,Jmjd1c<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,906.0,454.0,452.0,OK,True,False,False,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,0.0,0.0,False,False,,,,,,,,,,,,,,,
Cntnap5a,Cntnap5a<em1(IMPC)J>,homozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Exoc3l4,Exoc3l4<em1(IMPC)J>,heterozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Ufm1,Ufm1<em1(IMPC)Marc>,heterozygote,MARC,147.0,83.0,64.0,OK,True,True,True,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,3.0,True,True,3.0,True,3.0,True,3.0,True,3.0,True,3.0,True,,,,,
Pcdhb3,Pcdhb3<em1(IMPC)J>,homozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
