gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period
Dhrs2,Dhrs2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-03-04/2013-03-04
Dlg2,Dlg2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-03-13/2012-03-13
Dmxl2,Dmxl2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,1,5,54,44,452,454,2012-07-16/2012-12-27
Dop1b,Dop1b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,4,54,44,452,454,2012-03-06/2012-07-10
Dph2,Dph2<tm2(EUCOMM)Wtsi>,heterozygote,WTSI,2,2,54,44,452,454,2012-04-18/2012-05-02
Dppa1,Dppa1<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-12-13/2013-01-22
Dpy30,Dpy30<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-09-30/2013-09-30
Dsc2,Dsc2<tm1e(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-04-05/2013-04-05
Dsg1b,Dsg1b<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2012-11-26/2013-02-18
Dusp5,Dusp5<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-11-11/2014-06-30
Dynll1,Dynll1<tm1(KOMP)Wtsi>,heterozygote,WTSI,3,5,54,44,452,454,2012-08-28/2012-11-01
Dynlrb1,Dynlrb1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,2,2,54,44,452,454,2012-08-15/2012-08-15
Edc4,Edc4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-08-20/2013-08-20
Eef1akmt1,Eef1akmt1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2014-02-05/2014-02-05
Ehbp1l1,Ehbp1l1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-08-12/2013-08-12
Elmo1,Elmo1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-11-05/2012-11-05
Entpd6,Entpd6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-08-30/2013-08-30
Epcip,Epcip<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-08-20/2012-08-20
Erp44,Erp44<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-01-21/2013-01-21
Ezr,Ezr<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-05-29/2012-06-11
Fanci,Fanci<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-03-12/2013-03-12
Farsa,Farsa<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,3,1,54,44,452,454,2012-04-10/2012-04-10
Fbxl7,Fbxl7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-02-27/2012-06-07
Fbxo47,Fbxo47<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-02-29/2012-02-29
Fbxo7,Fbxo7<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-07-03/2012-08-22
Fggy,Fggy<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-03-26/2012-05-29
Frmd7,Frmd7<tm1a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2013-05-13/2013-07-04
Frrs1,Frrs1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,1,3,54,44,452,454,2013-05-07/2013-05-07
Fundc1,Fundc1<tm1c(KOMP)Wtsi>,hemizygote,WTSI,0,4,8,3,29,25,2012-04-04/2012-05-23
Fundc1,Fundc1<tm1c(KOMP)Wtsi>,homozygote,WTSI,4,0,8,3,29,25,2012-07-18/2012-10-25
Fyn,Fyn<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-08-22/2012-08-22
G3bp2,G3bp2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-12-31/2012-12-31
Gbf1,Gbf1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-05-28/2012-08-15
Gldc,Gldc<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-03-13/2013-04-18
Gle1,Gle1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-02-22/2012-02-22
Glg1,Glg1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-09-19/2012-09-19
Glt8d2,Glt8d2<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-05-28/2012-05-28
Gm13547,Gm13547<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-04-17/2012-07-11
Gpc5,Gpc5<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-04-12/2012-06-20
Gpr107,Gpr107<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-02-25/2013-02-25
Gsto2,Gsto2<tm2a(KOMP)Wtsi>,homozygote,WTSI,0,6,54,44,452,454,2014-03-05/2014-03-19
Gtf2a1,Gtf2a1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,1,4,54,44,452,454,2014-02-25/2014-06-12
H2-Eb1,H2-Eb1<b-tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-11-20/2013-11-20
Hecw2,Hecw2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-06-17/2013-06-17
Hsp90aa1,Hsp90aa1<tm1(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-04-10/2012-06-25
Ido2,Ido2<tm3a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-12-04/2013-01-21
Ift80,Ift80<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-10-22/2012-10-22
