gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period,shortage_mechanism
Rsad1,Rsad1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-06-25/2013-06-26,Time-based control-matching
Rsad1,Rsad1<tm1.1(KOMP)Vlcg>,homozygote,TCP,2,2,50,50,295,293,2013-06-25/2013-06-26,Time-based control-matching
Rsph9,Rsph9<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-02-06/2014-02-11,Time-based control-matching
Skida1,Skida1<tm1.1(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2013-06-19/2013-06-20,Time-based control-matching
Skida1,Skida1<tm1.1(KOMP)Wtsi>,homozygote,TCP,1,1,50,50,295,293,2013-06-20/2013-06-20,Time-based control-matching
Slc52a2,Slc52a2<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2013-05-16/2013-05-21,Time-based control-matching
Sufu,Sufu<tm1b(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2015-06-01/2015-12-08,Time-based control-matching
Tbx4,Tbx4<tm4b(EUCOMM)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-04-29/2014-04-29,Time-based control-matching
Tgfb3,Tgfb3<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2016-03-15/2016-03-22,Time-based control-matching
Tmem100,Tmem100<tm1e.1(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-01-02/2014-01-03,Time-based control-matching
Tnni2,Tnni2<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2016-04-20/2016-04-21,Time-based control-matching
Vps13d,Vps13d<tm1e.1(KOMP)Wtsi>,heterozygote,TCP,2,2,50,50,295,293,2014-01-03/2014-01-03,Time-based control-matching
Vps25,Vps25<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2014-03-07/2014-03-12,Time-based control-matching
Washc3,Washc3<tm1.1(KOMP)Vlcg>,heterozygote,TCP,2,2,50,50,295,293,2016-03-09/2016-03-15,Time-based control-matching
