gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Angptl3,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Tspyl5,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Pld1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Dpm1,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Pkmyt1,1,False,True,False,2.0,4.0,2.0,4.0,1264.0,1277.0
Reep3,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Sema6c,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Cyp2b9,2,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Cog6,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Myh1,1,True,True,True,3.0,3.0,3.0,3.0,1264.0,1277.0
Cct5,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Anks1b,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
Slu7,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Ptpn12,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Clcn3,1,False,False,False,2.0,2.0,2.0,2.0,169.0,177.0
Spata7,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Prdm4,1,False,True,False,2.0,3.0,2.0,3.0,434.0,426.0
Dap,1,False,True,False,1.0,3.0,1.0,3.0,454.0,452.0
Fbxo44,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Syt9,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Cdkn2aip,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Slc10a3,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Ociad1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Fam167a,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Lyar,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tnik,1,True,False,False,5.0,0.0,5.0,0.0,454.0,452.0
Sgpl1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Usp26,2,True,True,False,3.0,3.0,3.0,3.0,83.0,64.0
Cinp,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tex21,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tkfc,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Ptprk,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Spop,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Kcnc4,1,False,False,False,2.0,2.0,2.0,2.0,36.0,34.0
Cyb5d1,1,True,False,False,4.0,1.0,4.0,1.0,1264.0,1277.0
Ociad2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Slc17a1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tpx2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tacstd2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Sra1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Scrn1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Xxylt1,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Hyal3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cygb,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Atg7,1,True,True,True,8.0,8.0,3.0,7.0,1701.0,1745.0
Ptprm,1,True,False,False,4.0,0.0,4.0,0.0,38.0,6.0
Cfap61,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Dbpht2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Nhlrc2,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Prkaa2,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Adpgk,1,False,True,False,1.0,5.0,1.0,5.0,454.0,452.0
Rab22a,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Chsy3,1,False,False,False,,,,,,
Hectd1,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
A4galt,1,False,False,False,2.0,1.0,2.0,1.0,169.0,177.0
Zfp92,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Etfa,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Zfp42,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gh,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Elp6,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ache,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Atp2b1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Tspan18,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Ly86,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Saa4,1,True,False,False,3.0,1.0,3.0,1.0,1264.0,1277.0
Sh3rf2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Slain2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Usp24,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Fbxo47,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Adcy2,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Lama1,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Kctd17,1,True,True,True,4.0,4.0,4.0,4.0,169.0,177.0
Parpbp,1,True,True,True,3.0,3.0,3.0,3.0,1264.0,1277.0
Ift56,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Prelp,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Gm14569,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Klhdc10,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Cdc42ep5,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Btg1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ppa2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Atp6v0d1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Gimap8,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Acat1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Milr1,1,False,False,False,2.0,1.0,2.0,1.0,169.0,177.0
Wrn,1,True,True,True,8.0,8.0,4.0,3.0,1701.0,1745.0
Rbp4,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ccno,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Dock9,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Taf15,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Retnlg,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ctps2,1,False,False,False,,,,,,
Sars1,1,True,True,True,4.0,5.0,4.0,5.0,1264.0,1277.0
Jak3,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Mkrn3,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Crygs,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Il1rl2,1,True,False,False,3.0,2.0,3.0,2.0,285.0,289.0
Hirip3,1,True,True,True,3.0,3.0,3.0,3.0,285.0,289.0
Gtf2a1l,1,True,True,True,3.0,3.0,3.0,3.0,1264.0,1277.0
Mgme1,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Lime1,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Rab11b,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Rnf13,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Kcnk16,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Slc25a10,1,True,True,True,4.0,5.0,4.0,5.0,959.0,950.0
Zcwpw1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Tsks,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Pigf,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
Fundc1,2,True,True,False,4.0,4.0,4.0,4.0,25.0,29.0
Rgcc,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
