gene_symbol,allele_symbol,zygosity,phenotyping_center,genetic_background,equipment_manufacturer,equipment_model,pipeline_name,n_mutants,n_mutants_complete,n_controls_matched,n_controls_matched_complete,n_controls_matched_abr001,n_controls_matched_abr001_complete
Plxnb3,Plxnb3<tm1a(KOMP)Wtsi>,hemizygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,6,6,906,904,906,904
Polb,Polb<tm1a(KOMP)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pold3,Pold3<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Poln,Poln<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,involves: C57BL/6NTac,Intelligent Hearing Systems,Smart EP,Harwell,4,4,860,858,400,400
Polr3f,Polr3f<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Polr3g,Polr3g<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pop4,Pop4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Ppil3,Ppil3<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,7,7,906,904,906,904
Ppp1r42,Ppp1r42<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Praf2,Praf2<tm1e(EUCOMM)Wtsi>,hemizygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Praf2,Praf2<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pramel15,Pramel15<tm1b(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pramel31,Pramel31<tm2b(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,9,9,906,904,906,904
Pramex1,Pramex1<tm1a(KOMP)Wtsi>,hemizygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pramex1,Pramex1<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,1,1,906,904,906,904
