gene_symbol,allele_symbol,zygosity,center,total_mice,mice_with_complete_data,control_count,control_status,6kHz-evoked ABR Threshold_count,12kHz-evoked ABR Threshold_count,18kHz-evoked ABR Threshold_count,24kHz-evoked ABR Threshold_count,30kHz-evoked ABR Threshold_count,6kHz-evoked ABR Threshold_mean,12kHz-evoked ABR Threshold_mean,18kHz-evoked ABR Threshold_mean,24kHz-evoked ABR Threshold_mean,30kHz-evoked ABR Threshold_mean
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,JAX,8,7,2541,OK,8,8,8,8,7,56.25,53.75,40.0,57.5,65.0
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,HMGU,8,5,960,OK,8,8,8,7,5,48.125,27.5,38.125,43.57142857142857,51.0
Dnase1l2,Dnase1l2<tm1(KOMP)Wtsi>,homozygote,RBRC,4,4,296,OK,4,4,4,4,4,10.7,3.2,8.0,22.05,28.55
Dnase1l2,Dnase1l2<em2(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,30.0,33.75,45.0,53.75
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,38.75,13.75,22.5,30.0,43.75
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,20.0,23.75,30.0,41.25
Dpm3,Dpm3<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,47.5,31.25,30.0,42.5,55.0
Dsc3,Dsc3<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,3,3,346,OK,3,3,3,3,3,55.0,30.0,40.0,40.0,46.666666666666664
Dusp13b,Dusp13b<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,61.25,28.75,32.5,40.0,50.0
Dync2i1,Dync2i1<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,18.75,26.25,30.0,48.75
Edc3,Edc3<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,40.0,22.5,30.0,36.25,50.0
Edc3,Edc3<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,20.0,23.75,31.25,47.5
Efcab11,Efcab11<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,43.75,25.0,28.75,36.25,55.0
Egfl6,Egfl6<tm1a(EUCOMM)Hmgu>,homozygote,KMPC,4,1,420,OK,4,4,4,4,1,28.75,30.0,26.25,26.25,85.0
Eif2b4,Eif2b4<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,25.0,25.0,38.75,47.5
Emd,Emd<em1(IMPC)Kmpc>,homozygote,KMPC,3,1,420,OK,3,3,3,3,1,31.666666666666668,26.666666666666668,28.333333333333332,46.666666666666664,30.0
Emd,Emd<em1(IMPC)Kmpc>,hemizygote,KMPC,3,2,420,OK,3,3,3,3,2,25.0,20.0,28.333333333333332,40.0,57.5
Emd,Emd<em1(IMPC)Kmpc>,homozygote,KMPC,3,1,420,OK,3,3,3,3,1,31.666666666666668,26.666666666666668,28.333333333333332,46.666666666666664,30.0
Emd,Emd<em1(IMPC)Kmpc>,hemizygote,KMPC,3,2,420,OK,3,3,3,3,2,25.0,20.0,28.333333333333332,40.0,57.5
Eng,Eng<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,45.0,27.5,35.0,47.5,55.0
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,2,960,OK,4,4,4,4,2,35.0,21.25,30.0,47.5,55.0
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8,2,960,OK,8,8,8,8,2,35.0,21.25,28.125,43.75,62.5
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,4,2,960,OK,4,4,4,4,2,35.0,21.25,30.0,47.5,55.0
Entpd1,Entpd1<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8,2,960,OK,8,8,8,8,2,35.0,21.25,28.125,43.75,62.5
