gene_symbol,allele_symbol,zygosity,n_mutants_with_data,impc_mutant_n,impc_control_n,n_abr_params_in_stats,n_abr_params_processed,no_impc_abr_result,status
Hsp90aa1,Hsp90aa1<tm1(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ido2,Ido2<tm3a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ift80,Ift80<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ift80,Ift80<tm1a(KOMP)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Il10rb,Il10rb<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ildr1,Ildr1<tm1(KOMP)Wtsi>,homozygote,7,7.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ints2,Ints2<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Irf7,Irf7<tm1(KOMP)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Isg20,Isg20<tm1a(KOMP)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Jmjd1c,Jmjd1c<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Kcnip4,Kcnip4<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Kcnv2,Kcnv2<tm1Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Kdm4d,Kdm4d<tm2a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Kdm7a,Kdm7a<tm1a(EUCOMM)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Kifap3,Kifap3<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,homozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Klhl21,Klhl21<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Klk9,Klk9<tm1a(KOMP)Wtsi>,homozygote,5,5.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Krt88,Krt88<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
L3mbtl2,L3mbtl2<tm2a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Lamc3,Lamc3<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Lyplal1,Lyplal1<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Lztr1,Lztr1<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Magea9,Magea9<tm1a(KOMP)Wtsi>,hemizygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Magea9,Magea9<tm1a(KOMP)Wtsi>,homozygote,3,3.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Map2k7,Map2k7<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Map3k1,Map3k1<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mapk10,Mapk10<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mast2,Mast2<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mcf2l,Mcf2l<tm1a(EUCOMM)Hmgu>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mettl24,Mettl24<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mlec,Mlec<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mrap2,Mrap2<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mrm1,Mrm1<tm2a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Mtss2,Mtss2<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
