gene_symbol,allele_symbol,zygosity,phenotyping_center,count
Chfr,Chfr<tm1a(KOMP)Wtsi>,homozygote,CCP-IMG,14
Chka,Chka<tm2a(KOMP)Wtsi>,heterozygote,WTSI,4
Chpf,Chpf<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Chrm4,Chrm4<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
Chrna10,Chrna10<em1(IMPC)Mbp>,homozygote,UC Davis,4
Chtop,Chtop<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Ciao2b,Ciao2b<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,15
Cilk1,Cilk1<tm1b(KOMP)Mbp>,homozygote,UC Davis,8
Cimap1b,Cimap1b<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cimap1d,Cimap1d<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Cimip5,Cimip5<em1(IMPC)J>,homozygote,JAX,7
Cited4,Cited4<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Clcc1,Clcc1<tm1b(KOMP)Mbp>,heterozygote,JAX,8
Cldn19,Cldn19<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
Cldn23,Cldn23<em1(IMPC)J>,homozygote,JAX,8
Cldnd2,Cldnd2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,6
Clec2g,Clec2g<em1(IMPC)J>,homozygote,JAX,8
Clec4a4,Clec4a4<tm1(KOMP)Vlcg>,homozygote,UC Davis,4
Clk1,Clk1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5
Clpx,Clpx<tm1.1(KOMP)Vlcg>,heterozygote,JAX,7
Clrn3,Clrn3<em1(IMPC)J>,homozygote,JAX,8
Cluh,Cluh<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,15
Cmas,Cmas<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Cmip,Cmip<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,8
Cmtm7,Cmtm7<em1(IMPC)J>,homozygote,JAX,8
Cmtm8,Cmtm8<em1(IMPC)J>,homozygote,JAX,8
Cnbd1,Cnbd1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4
Cngb3,Cngb3<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cnnm2,Cnnm2<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Cnot10,Cnot10<em1(IMPC)J>,heterozygote,JAX,8
Cntf,Cntf<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Cntnap5a,Cntnap5a<em1(IMPC)J>,homozygote,JAX,8
Cog8,Cog8<em1(IMPC)J>,heterozygote,JAX,8
Col11a2,Col11a2<tm1b(KOMP)Wtsi>,heterozygote,HMGU,8
