gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
1700008O03Rik,1700008O03Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
1700029H14Rik,1700029H14Rik<tm2b(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
1700034J05Rik,1700034J05Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
1700067K01Rik,1700067K01Rik<tm2a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
1700123O20Rik,1700123O20Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
2610318N02Rik,2610318N02Rik<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
3300002A11Rik,3300002A11Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
4921536K21Rik,4921536K21Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,3,5,involves: C57BL/6N,MGP Select Pipeline,960
4930404H24Rik,4930404H24Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
4930449E01Rik,4930449E01Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
4930590J08Rik,4930590J08Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
4930591A17Rik,4930591A17Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
4931429L15Rik,4931429L15Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
4933402N03Rik,4933402N03Rik<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
4933434E20Rik,4933434E20Rik<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,9,5,4,involves: C57BL/6N,MGP Select Pipeline,960
A430005L14Rik,A430005L14Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,7,7,0,involves: C57BL/6N,MGP Select Pipeline,960
A830019P07Rik,A830019P07Rik<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
A930004D18Rik,A930004D18Rik<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,3,0,involves: C57BL/6N,MGP Select Pipeline,960
Abca4,Abca4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Abcb6,Abcb6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Abhd14a,Abhd14a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Abhd17a,Abhd17a<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,5,3,involves: C57BL/6N,MGP Select Pipeline,960
Abraxas2,Abraxas2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Abtb2,Abtb2<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Acaa1a,Acaa1a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Acbd5,Acbd5<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Acer1,Acer1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Acot5,Acot5<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Acsl4,Acsl4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,0,3,involves: B6Brd;B6Dnk;B6N-Tyr<c-Brd>,MGP Select Pipeline,960
Actl10,Actl10<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Actn4,Actn4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Actr6,Actr6<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Adal,Adal<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
